goods_code,hier_pos,language,description
0202309070,10,FR,"destinées à la fabrication de produits relevant sous-positions 1602 10, 1602 50 31 ou 1602 50 95, ne contenant pas d'autre viande que celle d'animaux de l'espèce bovine, présentant un rapport collagène/protéines ne dépassant pas 0,45 et contenant au moins 20% de viande maigre en poids (à l'exclusion des abats et des matières grasses), la viande et la gelée comptant pour 85% au moins du poids total net; ces produits sont soumis à un traitement thermique suffisant pour garantir la coagulation des protéines de la viande dans l'ensemble du produit, qui ne présente donc pas de trace de liquide rosâtre sur sa face de découpage dans les cas où il est découpé le long d'une ligne passant par sa partie la plus épaisse (produits A)"
0202309075,10,FR,"destinées à la fabrication de produits autres que ceux relevant des sous-positions ex 0210 20, 0210 99 51, 0210 99 90, 1602 50 10 et 1602 90 61 (produits B)"
0202309080,10,FR,autres
0202309090,10,FR,autres
0203000000,4,FR,"Viandes des animaux de l'espèce porcine, fraîches, réfrigérées ou congelées"
0203110000,6,FR,fraîches ou réfrigérées
0203110000,6,FR,en carcasses ou demi-carcasses
0203111000,8,FR,des animaux de l'espèce porcine domestique
0203119000,8,FR,autres
0203120000,6,FR,"Jambons, épaules et leurs morceaux, non désossés"
0203121100,8,FR,des animaux de l'espèce porcine domestique
0203121100,8,FR,Jambons et morceaux de jambons
0203121900,8,FR,Épaules et morceaux d'épaules
0203129000,8,FR,autres
0203190000,6,FR,autres
0203191100,8,FR,des animaux de l'espèce porcine domestique
0203191100,8,FR,Parties avant et morceaux de parties avant
0203191300,8,FR,Longes et morceaux de longes
0203191500,8,FR,Poitrines (entrelardées) et morceaux de poitrines
0203195500,8,FR,autres
0203195500,8,FR,désossées
0203195510,10,FR,"Filets, présentés seuls"
0203195515,10,FR,"Longes et morceaux de longes, à l'exclusion de filets présentés seuls"
0203195515,10,FR,Longes
0203195525,10,FR,Morceaux
0203195530,10,FR,Jambons et morceaux de jambons
0203195590,10,FR,autres
0203195900,8,FR,autres
0203199000,8,FR,autres
0203210000,6,FR,congelées
0203210000,6,FR,en carcasses ou demi-carcasses
0203211000,8,FR,des animaux de l'espèce porcine domestique
0203219000,8,FR,autres
0203220000,6,FR,"Jambons, épaules et leurs morceaux, non désossés"
0203221100,8,FR,des animaux de l'espèce porcine domestique
0203221100,8,FR,Jambons et morceaux de jambons
0203221900,8,FR,Épaules et morceaux d'épaules
0203229000,8,FR,autres
0203290000,6,FR,autres
0203291100,8,FR,des animaux de l'espèce porcine domestique
0203291100,8,FR,Parties avant et morceaux de parties avant
0203291300,8,FR,Longes et morceaux de longes
0203291500,8,FR,Poitrines (entrelardées) et morceaux de poitrines
0203295500,8,FR,autres
0203295500,8,FR,désossées
0203295520,10,FR,"Longes et morceaux de longes, à l'exclusion de filets présentés seuls"
0203295520,10,FR,Longes
0203295530,10,FR,Morceaux
0203295591,10,FR,autres
0203295591,10,FR,"Filets, présentés seuls"
0203295592,10,FR,Jambons et morceaux de jambons
0203295599,10,FR,autres
0203295900,8,FR,autres
0203299000,8,FR,autres
0204000000,4,FR,"Viandes des animaux des espèces ovine ou caprine, fraîches, réfrigérées ou congelées"
0204100000,6,FR,"Carcasses et demi-carcasses d'agneau, fraîches ou réfrigérées"
0204100010,10,FR,d'agneau domestique
0204100090,10,FR,autres
0204210000,6,FR,"autres viandes des animaux de l'espèce ovine, fraîches ou réfrigérées"
0204210000,6,FR,en carcasses ou demi-carcasses
0204210010,10,FR,de l'espèce ovine domestique
0204210090,10,FR,autres
0204220000,6,FR,en autres morceaux non désossés
0204221000,8,FR,Casque ou demi-casque
0204221010,10,FR,de l'espèce ovine domestique
0204221090,10,FR,autres
0204223000,8,FR,Carré et/ou selle ou demi-carré et/ou demi-selle
0204223010,10,FR,de l'espèce ovine domestique
0204223090,10,FR,autres
0204225000,8,FR,Culotte ou demi-culotte
0204225010,10,FR,de l'espèce ovine domestique
0204225090,10,FR,autres
0204229000,8,FR,autres
0204229010,10,FR,de l'espèce ovine domestique
0204229090,10,FR,autres
0204230000,6,FR,désossées
0204230011,10,FR,de l'espèce ovine domestique
0204230011,10,FR,d'agneau
0204230019,10,FR,autres
0204230091,10,FR,autres
0204230091,10,FR,d'agneau
0204230099,10,FR,autres
0204300000,6,FR,"Carcasses et demi-carcasses d'agneau, congelées"
0204300010,10,FR,d'agneau domestique
0204300090,10,FR,autres
0204410000,6,FR,"autres viandes des animaux de l'espèce ovine, congelées"
0204410000,6,FR,en carcasses ou demi-carcasses
0204410010,10,FR,de l'espèce ovine domestique
0204410090,10,FR,autres
0204420000,6,FR,en autres morceaux non désossés
0204421000,8,FR,Casque ou demi-casque
0204421010,10,FR,de l'espèce ovine domestique
0204421090,10,FR,autres
0204423000,8,FR,Carré et/ou selle ou demi-carré et/ou demi-selle
0204423010,10,FR,de l'espèce ovine domestique
0204423090,10,FR,autres
0204425000,8,FR,Culotte ou demi-culotte
0204425010,10,FR,de l'espèce ovine domestique
0204425090,10,FR,autres
0204429000,8,FR,autres
0204429010,10,FR,de l'espèce ovine domestique
0204429090,10,FR,autres
0204430000,6,FR,désossées
0204431000,8,FR,d'agneau
0204431010,10,FR,de l'espèce ovine domestique
0204431090,10,FR,autres
0204439000,8,FR,autres
0204439010,10,FR,de l'espèce ovine domestique
0204439090,10,FR,autres
0204500000,6,FR,Viandes des animaux de l'espèce caprine
0204501100,8,FR,fraîches ou réfrigérées
0204501100,8,FR,Carcasses ou demi-carcasses
0204501300,8,FR,Casque ou demi-casque
0204501500,8,FR,Carré et/ou selle ou demi-carré et/ou demi-selle
0204501900,8,FR,Culotte ou demi-culotte
0204503100,8,FR,autres
0204503100,8,FR,Morceaux non désossés
0204503900,8,FR,Morceaux désossés
0204503910,10,FR,Viande de chevreau
0204503990,10,FR,autres
0204505100,8,FR,congelées
0204505100,8,FR,Carcasses ou demi-carcasses
0204505300,8,FR,Casque ou demi-casque
0204505500,8,FR,Carré et/ou selle ou demi-carré et/ou demi-selle
0204505900,8,FR,Culotte ou demi-culotte
0204507100,8,FR,autres
0204507100,8,FR,Morceaux non désossés
0204507900,8,FR,Morceaux désossés
0204507910,10,FR,Viande de chevreau
0204507990,10,FR,autres
0205000000,4,FR,"Viandes des animaux des espèces chevaline, asine ou mulassière, fraîches, réfrigérées ou congelées"
0205002000,8,FR,fraîches ou réfrigérées
0205008000,8,FR,congelées
0206000000,4,FR,"Abats comestibles des animaux des espèces bovine, porcine, ovine, caprine, chevaline, asine ou mulassière, frais, réfrigérés ou congelés"
0206100000,6,FR,"de l'espèce bovine, frais ou réfrigérés"
0206101000,8,FR,destinés à la fabrication de produits pharmaceutiques
0206109500,8,FR,autres
0206109500,8,FR,Onglets et hampes
0206109511,10,FR,de haute qualité
0206109511,10,FR,de bison
0206109515,10,FR,autres
0206109591,10,FR,autres
0206109591,10,FR,de bison
0206109599,10,FR,autres
0206109800,8,FR,autres
0206210000,6,FR,"de l'espèce bovine, congelés"
0206210000,6,FR,Langues
0206220000,6,FR,Foies
0206290000,6,FR,autres
0206291000,8,FR,destinés à la fabrication de produits pharmaceutiques
0206299100,8,FR,autres
0206299100,8,FR,Onglets et hampes
0206299111,10,FR,de haute qualité
0206299111,10,FR,"Hampes, entières"
0206299111,10,FR,de bison
0206299115,10,FR,autres
0206299121,10,FR,autres
0206299121,10,FR,de bison
0206299129,10,FR,autres
0206299133,10,FR,autres
0206299133,10,FR,"Hampes, entières"
0206299133,10,FR,destinées à la transformation
0206299133,10,FR,"destinées à la fabrication de produits relevant des sous-positions 1602 10, 1602 50 31 ou 1602 50 95, ne contenant pas d'autre viande que celle d'animaux de l'espèce bovine, présentant un rapport collagène/protéines ne dépassant pas 0,45 et contenant au moins 20% de viande maigre en poids (à l'exclusion des abats et des matières grasses), la viande et la gelée comptant pour 85% au moins du poids total net; ces produits sont soumis à un traitement thermique suffisant pour garantir la coagulation des protéines de la viande dans l'ensemble du produit, qui ne présente donc pas de trace de liquide rosâtre sur sa face de découpage dans les cas où il est découpé le long d'une ligne passant par sa partie la plus épaisse (produits A)"
0206299133,10,FR,de bison
0206299135,10,FR,autres
0206299137,10,FR,"destinées à la fabrication de produits autres que ceux relevant des sous-positions ex 0210 20, 0210 99 51, 0210 99 90, 1602 50 10 et 1602 90 61 (produits B)"
0206299137,10,FR,de bison
0206299138,10,FR,autres
0206299141,10,FR,autres
0206299141,10,FR,de bison
0206299142,10,FR,autres
0206299144,10,FR,autres
0206299144,10,FR,de bison
0206299145,10,FR,autres
0206299151,10,FR,autres
0206299151,10,FR,destinées à la transformation
0206299151,10,FR,"destinées à la fabrication de produits relevant des sous-positions 1602 10, 1602 50 31 ou 1602 50 95, ne contenant pas d'autre viande que celle d'animaux de l'espèce bovine, présentant un rapport collagène/protéines ne dépassant pas 0,45 et contenant au moins 20% de viande maigre en poids (à l'exclusion des abats et des matières grasses), la viande et la gelée comptant pour 85% au moins du poids total net; ces produits sont soumis à un traitement thermique suffisant pour garantir la coagulation des protéines de la viande dans l'ensemble du produit, qui ne présente donc pas de trace de liquide rosâtre sur sa face de découpage dans les cas où il est découpé le long d'une ligne passant par sa partie la plus épaisse (produits A)"
0206299151,10,FR,de bison
0206299159,10,FR,autres
0206299161,10,FR,"destinées à la fabrication de produits autres que ceux relevant des sous-positions ex 0210 20, 0210 99 51, 0210 99 90, 1602 50 10 et 1602 90 61 (produits B)"
0206299161,10,FR,de bison
0206299169,10,FR,autres
0206299171,10,FR,autres
0206299171,10,FR,de bison
0206299179,10,FR,autres
0206299191,10,FR,autres
0206299191,10,FR,de bison
0206299199,10,FR,autres
0206299900,8,FR,autres
0206300000,6,FR,"de l'espèce porcine, frais ou réfrigérés"
0206300010,10,FR,de l'espèce porcine domestique
0206300090,10,FR,autres
0206410000,6,FR,"de l'espèce porcine, congelés"
0206410000,6,FR,Foies
0206410010,10,FR,de l'espèce porcine domestique
0206410090,10,FR,autres
0206490000,6,FR,autres
0206800000,6,FR,"autres, frais ou réfrigérés"
0206801000,8,FR,destinés à la fabrication de produits pharmaceutiques
0206809100,8,FR,autres
